City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
113,puerto ayora,-0.7393,-90.3518,26.98,97,100,2.68,EC,1671277962
114,mpika,-11.8343,31.4529,20.07,83,91,1.34,ZM,1671247545
115,launceston,-41.45,147.1667,9.89,87,78,4.12,AU,1671301961
116,saint george,37.1041,-113.5841,-2.67,63,0,0.0,US,1671288124
117,hithadhoo,-0.6,73.0833,27.57,75,49,4.89,MV,1671238739
118,te anau,-45.4167,167.7167,11.06,96,100,1.59,NZ,1671296140
119,menongue,-14.6585,17.691,24.98,51,99,2.01,AO,1671250535
120,chokurdakh,70.6333,147.9167,-39.07,100,17,1.36,RU,0
121,castro,-24.7911,-50.0119,22.67,63,34,1.04,BR,1671265565
122,semnan,35.5729,53.3971,9.91,62,75,1.03,IR,1671247781
123,yamada,39.4667,141.95,3.14,77,100,3.33,JP,1671313617
124,trairi,-3.2778,-39.2689,31.08,50,68,5.81,BR,1671265434
125,biharamulo,-2.6319,31.3089,18.46,80,89,1.18,TZ,1671248558
126,kloulklubed,7.0419,134.2556,25.28,78,46,6.97,PW,1671311276
127,nalut,30.3333,10.85,21.2,26,1,1.44,LY,1671257212
128,dikson,73.5069,80.5464,-13.64,91,100,9.39,RU,0
129,demir hisar,41.2217,21.2031,9.36,76,100,1.92,MK,1671256497
130,suwannaphum,15.6035,103.8021,19.36,66,54,10.1,TH,1671233078
131,zabolotiv,48.4705,25.2857,-1.84,88,100,7.13,UA,1671257123
132,itarema,-2.9248,-39.9167,31.27,50,65,6.92,BR,1671265627
133,alyangula,-13.8483,136.4192,28.86,74,87,4.35,AU,1671308549
134,egvekinot,66.3167,-179.1667,-12.05,61,68,4.44,RU,1671403121
135,flinders,-34.5833,150.8552,15.1,80,99,3.58,AU,1671302338
136,inhambane,-23.865,35.3833,28.99,84,40,9.26,MZ,1671245185
137,bethel,41.3712,-73.414,6.41,70,0,5.66,US,1671279244
138,agogo,6.8,-1.0819,33.81,25,64,1.83,GH,1671257314
139,hasaki,35.7333,140.8333,5.68,89,100,5.74,JP,1671313249
140,dobrinka,52.1653,40.4731,1.31,100,100,3.67,RU,1671254530
141,piotrkow trybunalski,51.4055,19.7032,-5.46,10,100,2.89,PL,1671259283
142,sao filipe,14.8961,-24.4956,25.29,68,87,3.0,CV,1671263802
143,frutal,-20.0247,-48.9406,30.76,42,99,0.69,BR,1671265906
144,waingapu,-9.6567,120.2641,25.47,83,100,2.31,ID,1671312887
145,kaeo,-35.1,173.7833,19.07,96,97,1.14,NZ,1671296748
146,bardiyah,31.7561,25.0865,18.93,77,45,3.86,LY,1671253997
147,hashtrud,37.4779,47.0508,6.25,63,96,2.15,IR,1671249618
148,severo-kurilsk,50.6789,156.125,-3.79,66,95,9.53,RU,1671312753
149,mount isa,-20.7333,139.5,30.87,13,73,4.63,AU,1671307006
150,margate,51.3813,1.3862,3.16,81,94,0.89,GB,1671263674
151,liverpool,53.4106,-2.9779,4.68,92,75,2.57,GB,1671265372
152,sembakung,3.8167,117.25,23.53,97,100,0.56,ID,1671315023
153,alto araguaia,-17.3147,-53.2153,29.41,51,69,2.9,BR,1671267254
154,kubinka,55.5839,36.69,-4.0,96,100,3.65,RU,1671256642
155,east london,-33.0153,27.9116,21.52,94,100,2.57,ZA,1671245683
156,nara,34.6851,135.8049,5.83,69,95,3.08,JP,1671314290
157,irtyshskiy,58.3333,68.1333,-12.25,96,46,3.45,RU,1671250297
158,strezhevoy,60.7333,77.5889,-16.11,96,99,3.76,RU,1671249349
159,fortuna,40.5982,-124.1573,0.51,100,0,0.0,US,1671291281
160,abyek,36.0667,50.55,5.78,72,41,1.32,IR,1671248544
161,college,64.8569,-147.8028,-30.03,71,0,0.0,US,1671306942
162,port-gentil,-0.7193,8.7815,27.98,78,20,4.12,GA,1671254165
163,huntsville,34.7304,-86.5861,6.27,68,40,6.17,US,1671281258
164,husavik,66.0449,-17.3389,-7.56,81,100,2.34,IS,1671277265
165,norsup,-16.0667,167.3833,25.95,81,46,2.48,VU,1671300864
166,pemangkat,1.1667,108.9667,25.93,85,98,1.85,ID,1671230308
167,kahului,20.8947,-156.47,21.02,88,0,2.06,US,1671296173
168,faya,18.3851,42.4509,15.29,37,1,4.35,SA,1671248122
169,antequera,37.0194,-4.5612,16.08,68,9,2.25,ES,1671261933
170,cherskiy,68.75,161.3,-26.44,100,94,0.65,RU,0
171,ewo,-0.8725,14.8206,29.79,56,95,1.01,CG,1671252699
172,ilo,-17.6394,-71.3375,22.48,83,0,4.12,PE,1671271566
173,oranjemund,-28.55,16.4333,20.69,83,23,6.85,NA,1671249104
174,vostok,46.4856,135.8833,-29.43,99,96,1.69,RU,1671316517
175,virginia beach,36.8529,-75.978,9.02,56,75,4.12,US,1671279053
176,muros,42.7762,-9.0603,15.05,75,88,4.73,ES,1671264070
177,marstal,54.8562,10.5173,-3.05,84,22,7.63,DK,1671262647
178,pevek,69.7008,170.3133,-16.95,91,10,1.36,RU,0
